Element,Ev/atom,Adsorbate,Site,,,Element,Ev/atom,Adsorbate,Site
Mo,-0.05017327,CHO,8,,89,Mo,-0.05017327,CHO,8
Co,0.157016,CHO,9,,90,Co,0.157016,CHO,9
Fe,0.21027901,CHO,9,,91,Fe,0.21027901,CHO,9
Cu,0.04717387,CHO,9,,92,Cu,0.04717387,CHO,9
Ni,0.09765338,CHO,9,,93,Ni,0.09765338,CHO,9
Mo,0.17967735,CHO,9,,94,Mo,0.17967735,CHO,9
Co,0.06587719,CHO,10,,95,Co,0.06587719,CHO,10
Fe,0.10333194,CHO,10,,96,Fe,0.10333194,CHO,10
Cu,0.01512234,CHO,10,,97,Cu,0.01512234,CHO,10
Ni,0.03464028,CHO,10,,98,Ni,0.03464028,CHO,10
Mo,0.11035049,CHO,10,,99,Mo,0.11035049,CHO,10
Co,-1.30461582,COOH,1,,100,Co,-1.30461582,COOH,1
Fe,-1.31186852,COOH,1,,101,Fe,-1.31186852,COOH,1
Cu,-0.89199541,COOH,1,,102,Cu,-0.89199541,COOH,1
Ni,-1.15928042,COOH,1,,103,Ni,-1.15928042,COOH,1
Mo,-1.1715403,COOH,1,,104,Mo,-1.1715403,COOH,1
Co,-0.2523012,COOH,2,,105,Co,-0.2523012,COOH,2
Fe,-0.41142159,COOH,2,,106,Fe,-0.41142159,COOH,2
Cu,-0.07758468,COOH,2,,107,Cu,-0.07758468,COOH,2
Ni,-0.1426821,COOH,2,,108,Ni,-0.1426821,COOH,2
Mo,-0.76283458,COOH,2,,109,Mo,-0.76283458,COOH,2
Co,0.04977624,COOH,3,,110,Co,0.04977624,COOH,3
Fe,0.001884,COOH,3,,111,Fe,0.001884,COOH,3
Cu,0.07938368,COOH,3,,112,Cu,0.07938368,COOH,3
Ni,0.07514334,COOH,3,,113,Ni,0.07514334,COOH,3
Mo,0.06161793,COOH,3,,114,Mo,0.06161793,COOH,3
Co,0.10144903,COOH,4,,115,Co,0.10144903,COOH,4
Fe,0.06007783,COOH,4,,116,Fe,0.06007783,COOH,4
Cu,0.12871893,COOH,4,,117,Cu,0.12871893,COOH,4
Ni,0.12523639,COOH,4,,118,Ni,0.12523639,COOH,4
Mo,0.12154392,COOH,4,,119,Mo,0.12154392,COOH,4
Co,-0.04005383,COOH,5,,120,Co,-0.04005383,COOH,5
Fe,-0.05899383,COOH,5,,121,Fe,-0.05899383,COOH,5
Cu,-0.00761128,COOH,5,,122,Cu,-0.00761128,COOH,5
Ni,-0.02039776,COOH,5,,123,Ni,-0.02039776,COOH,5
Mo,-0.11581071,COOH,5,,124,Mo,-0.11581071,COOH,5
Co,0.29317684,COOH,6,,125,Co,0.29317684,COOH,6
Fe,0.25326147,COOH,6,,126,Fe,0.25326147,COOH,6
Cu,0.3073246,COOH,6,,127,Cu,0.3073246,COOH,6
Ni,0.3130545,COOH,6,,128,Ni,0.3130545,COOH,6
Mo,0.29171219,COOH,6,,129,Mo,0.29171219,COOH,6
Co,0.1645971,COOH,7,,130,Co,0.1645971,COOH,7
Fe,0.08963408,COOH,7,,131,Fe,0.08963408,COOH,7
Cu,0.18033212,COOH,7,,132,Cu,0.18033212,COOH,7
Ni,0.18791999,COOH,7,,133,Ni,0.18791999,COOH,7
Mo,-0.20356902,COOH,7,,134,Mo,-0.20356902,COOH,7
Co,-0.02352167,COOH,8,,135,Co,-0.02352167,COOH,8
Fe,-0.01644098,COOH,8,,136,Fe,-0.01644098,COOH,8
Cu,-0.03685314,COOH,8,,137,Cu,-0.03685314,COOH,8
Ni,-0.03156693,COOH,8,,138,Ni,-0.03156693,COOH,8
Mo,-0.0648417,COOH,8,,139,Mo,-0.0648417,COOH,8
Co,0.21449609,COOH,9,,140,Co,0.21449609,COOH,9
Fe,0.25976557,COOH,9,,141,Fe,0.25976557,COOH,9
Cu,0.18001616,COOH,9,,142,Cu,0.18001616,COOH,9
Ni,0.19289432,COOH,9,,143,Ni,0.19289432,COOH,9
Mo,0.22746266,COOH,9,,144,Mo,0.22746266,COOH,9
Co,0.12439716,COOH,10,,145,Co,0.12439716,COOH,10
Fe,0.12919536,COOH,10,,146,Fe,0.12919536,COOH,10
Cu,0.12417539,COOH,10,,147,Cu,0.12417539,COOH,10
Ni,0.12715344,COOH,10,,148,Ni,0.12715344,COOH,10
Mo,0.12412032,COOH,10,,149,Mo,0.12412032,COOH,10
