T/B1,B2/Nsur1,Nsur2,Nsur3,Nsur4,Nsur5,Nsur6,Nsub1,Nsub2,Nsub3,Eads,Adsorbate
Mo,Co,Co,Fe,Fe,Co,Cu,Fe,Mo,Mo,-0.745164825,COOH
Mo,Fe,Fe,Co,Cu,Co,Co,Fe,Mo,Mo,-0.533248395,COOH
Mo,Fe,Co,Cu,Co,Co,Fe,Fe,Mo,Mo,-0.590694115,COOH
Fe,Mo,Co,Mo,Ni,Co,Fe,Co,Mo,Cu,-1.222437435,COOH
Ni,Mo,Ni,Cu,Mo,Co,Fe,Co,Cu,Fe,-1.098078425,COOH
Ni,Mo,Co,Fe,Mo,Ni,Cu,Co,Cu,Fe,-0.992662635,COOH
Cu,Ni,Co,Mo,Co,Mo,Ni,Fe,Fe,Mo,0.048243015,COOH
Cu,Mo,Co,Mo,Ni,Ni,Co,Fe,Fe,Mo,-0.711824385,COOH
Co,Ni,Co,Fe,Co,Mo,Cu,Mo,Fe,Cu,-0.718145155,COOH
Co,Co,Fe,Co,Mo,Cu,Ni,Mo,Fe,Cu,-0.811028325,COOH
Co,Mo,Cu,Ni,Co,Fe,Co,Mo,Fe,Cu,-1.508141965,COOH
Co,Mo,Co,Fe,Co,Mo,Fe,Mo,Cu,Mo,-1.532250925,COOH
Mo,Co,Fe,Ni,Ni,Fe,Co,Cu,Mo,Cu,-0.886913125,COOH
Ni,Mo,Fe,Co,Co,Cu,Ni,Fe,Cu,Fe,-1.099035055,COOH
Co,Cu,Fe,Fe,Fe,Fe,Ni,Fe,Mo,Mo,-0.662208265,COOH
Co,Fe,Ni,Cu,Fe,Fe,Fe,Fe,Mo,Mo,-0.890753365,COOH
Fe,Fe,Ni,Co,Fe,Fe,Co,Cu,Mo,Ni,-0.855549025,COOH
Fe,Co,Fe,Fe,Co,Fe,Ni,Cu,Mo,Ni,-0.613276835,COOH
Fe,Fe,Fe,Co,Fe,Ni,Co,Cu,Mo,Ni,-0.771381415,COOH
Co,Fe,Ni,Cu,Cu,Fe,Fe,Ni,Ni,Mo,-0.829753455,COOH
Co,Ni,Cu,Cu,Fe,Fe,Fe,Ni,Ni,Mo,-0.707743235,COOH
Co,Cu,Cu,Fe,Fe,Fe,Ni,Ni,Ni,Mo,-0.596948985,COOH
Co,Fe,Fe,Fe,Ni,Cu,Cu,Ni,Ni,Mo,-0.921388195,COOH
Co,Fe,Fe,Ni,Cu,Cu,Fe,Ni,Ni,Mo,-0.867938195,COOH
Cu,Cu,Fe,Co,Ni,Fe,Co,Cu,Mo,Mo,0.014850675,COOH
Cu,Ni,Fe,Co,Cu,Fe,Co,Cu,Mo,Mo,-0.170863525,COOH
Cu,Fe,Co,Cu,Fe,Co,Ni,Cu,Mo,Mo,-0.389293725,COOH
Fe,Cu,Ni,Ni,Fe,Co,Cu,Mo,Fe,Fe,-0.347075795,COOH
Fe,Ni,Ni,Fe,Co,Cu,Cu,Mo,Fe,Fe,-0.517039275,COOH
Fe,Ni,Fe,Co,Cu,Cu,Ni,Mo,Fe,Fe,-0.616785975,COOH
Fe,Fe,Co,Cu,Cu,Ni,Ni,Mo,Fe,Fe,-0.688429765,COOH
Fe,Co,Cu,Cu,Ni,Ni,Fe,Mo,Fe,Fe,-0.778367315,COOH
Fe,Fe,Ni,Fe,Ni,Fe,Co,Mo,Fe,Co,-0.885000545,COOH
Fe,Ni,Fe,Ni,Fe,Co,Fe,Mo,Fe,Co,-0.633498175,COOH
Fe,Fe,Ni,Fe,Co,Fe,Ni,Mo,Fe,Co,-0.776569685,COOH
Fe,Ni,Fe,Co,Fe,Ni,Fe,Mo,Fe,Co,-0.675798265,COOH
Fe,Fe,Co,Fe,Ni,Fe,Ni,Mo,Fe,Co,-0.883474715,COOH
Fe,Co,Fe,Ni,Fe,Ni,Fe,Mo,Fe,Co,-0.871721885,COOH
Ni,Fe,Fe,Fe,Cu,Co,Fe,Ni,Co,Fe,-0.885247105,COOH
Ni,Fe,Fe,Cu,Co,Fe,Fe,Ni,Co,Fe,-0.902893425,COOH
Ni,Fe,Cu,Co,Fe,Fe,Fe,Ni,Co,Fe,-0.877879775,COOH
Ni,Fe,Fe,Fe,Fe,Cu,Co,Ni,Co,Fe,-0.817748985,COOH
Cu,Ni,Fe,Cu,Co,Ni,Fe,Mo,Fe,Fe,-0.220892125,COOH
Cu,Cu,Co,Ni,Fe,Ni,Fe,Mo,Fe,Fe,0.058952785,COOH
Cu,Co,Ni,Fe,Ni,Fe,Cu,Mo,Fe,Fe,-0.156425805,COOH
Ni,Fe,Fe,Fe,Ni,Fe,Cu,Fe,Mo,Fe,-0.896580365,COOH
Ni,Fe,Fe,Ni,Fe,Cu,Fe,Fe,Mo,Fe,-0.916725085,COOH
Ni,Fe,Ni,Fe,Cu,Fe,Fe,Fe,Mo,Fe,-0.838827655,COOH
Ni,Ni,Fe,Cu,Fe,Fe,Fe,Fe,Mo,Fe,-0.658576375,COOH
Ni,Fe,Cu,Fe,Fe,Fe,Ni,Fe,Mo,Fe,-0.805246915,COOH
Ni,Ni,Fe,Fe,Fe,Fe,Fe,Fe,Fe,Mo,-0.650910425,COOH
Ni,Fe,Fe,Fe,Fe,Fe,Ni,Fe,Fe,Mo,-0.826771895,COOH
Ni,Fe,Fe,Fe,Fe,Ni,Fe,Fe,Fe,Mo,-0.899241525,COOH
Ni,Fe,Fe,Fe,Ni,Fe,Fe,Fe,Fe,Mo,-0.923790655,COOH
Ni,Fe,Ni,Fe,Fe,Fe,Fe,Fe,Fe,Mo,-0.786516895,COOH
Fe,Fe,Ni,Fe,Ni,Fe,Ni,Co,Mo,Fe,-0.831810895,COOH
Fe,Ni,Fe,Ni,Fe,Ni,Fe,Co,Mo,Fe,-0.834780725,COOH
Fe,Fe,Ni,Fe,Ni,Fe,Ni,Co,Mo,Fe,-0.709854895,COOH
Fe,Ni,Fe,Ni,Fe,Ni,Fe,Co,Mo,Fe,-0.551594835,COOH
Fe,Fe,Ni,Fe,Ni,Fe,Ni,Co,Mo,Fe,-0.769932865,COOH
Fe,Fe,Ni,Fe,Ni,Cu,Ni,Fe,Fe,Mo,-0.679497315,COOH
Fe,Fe,Ni,Cu,Ni,Fe,Ni,Fe,Fe,Mo,-0.715977145,COOH
Fe,Ni,Cu,Ni,Fe,Ni,Fe,Fe,Fe,Mo,-0.572773065,COOH
Fe,Ni,Fe,Ni,Fe,Ni,Cu,Fe,Fe,Mo,-0.551509155,COOH
Fe,Co,Fe,Fe,Ni,Fe,Ni,Mo,Fe,Cu,-0.707816865,COOH
Fe,Fe,Fe,Ni,Fe,Ni,Co,Mo,Fe,Cu,-0.796137465,COOH
Fe,Fe,Ni,Fe,Ni,Co,Fe,Mo,Fe,Cu,-0.797173145,COOH
Fe,Ni,Fe,Ni,Co,Fe,Fe,Mo,Fe,Cu,-0.779019495,COOH
Fe,Fe,Ni,Co,Fe,Fe,Ni,Mo,Fe,Cu,-0.835719455,COOH
Fe,Fe,Fe,Co,Fe,Ni,Ni,Fe,Cu,Ni,-0.814703795,COOH
Fe,Fe,Co,Fe,Ni,Ni,Fe,Fe,Cu,Ni,-0.932503375,COOH
Fe,Co,Fe,Ni,Ni,Fe,Fe,Fe,Cu,Ni,-0.721866375,COOH
Fe,Fe,Ni,Ni,Fe,Fe,Co,Fe,Cu,Ni,-0.792421945,COOH
Fe,Fe,Co,Cu,Ni,Fe,Ni,Mo,Ni,Cu,-0.790069805,COOH
Fe,Cu,Ni,Fe,Ni,Fe,Co,Mo,Ni,Cu,-0.487002185,COOH
Fe,Fe,Ni,Fe,Co,Cu,Ni,Mo,Ni,Cu,-0.850984765,COOH
Fe,Ni,Fe,Co,Cu,Ni,Fe,Mo,Ni,Cu,-0.692882035,COOH
Ni,Fe,Cu,Co,Fe,Fe,Fe,Fe,Cu,Fe,-0.850180825,COOH
Ni,Co,Fe,Fe,Fe,Fe,Cu,Fe,Cu,Fe,-0.800783845,COOH
Ni,Fe,Fe,Fe,Fe,Cu,Co,Fe,Cu,Fe,-0.840692605,COOH
Ni,Fe,Fe,Fe,Cu,Co,Fe,Fe,Cu,Fe,-0.859608085,COOH
Ni,Fe,Fe,Cu,Co,Fe,Fe,Fe,Cu,Fe,-0.894731785,COOH
Co,Fe,Ni,Fe,Co,Co,Co,Fe,Fe,Cu,-1.608308345,CHO
Co,Ni,Fe,Co,Co,Co,Fe,Fe,Fe,Cu,-1.480036585,CHO
Co,Fe,Co,Co,Co,Fe,Ni,Fe,Fe,Cu,-1.639792655,CHO
Co,Co,Co,Co,Fe,Ni,Fe,Fe,Fe,Cu,-1.623041815,CHO
Co,Co,Co,Fe,Ni,Fe,Co,Fe,Fe,Cu,-1.538800855,CHO
Co,Co,Fe,Cu,Co,Cu,Co,Cu,Cu,Fe,-1.688804855,CHO
Co,Cu,Co,Cu,Co,Co,Fe,Cu,Cu,Fe,-1.566445965,CHO
Co,Co,Cu,Co,Co,Fe,Cu,Cu,Cu,Fe,-1.603435305,CHO
Co,Cu,Co,Co,Fe,Cu,Co,Cu,Cu,Fe,-1.407846415,CHO
Co,Co,Co,Fe,Cu,Co,Cu,Cu,Cu,Fe,-1.537477595,CHO
Co,Co,Cu,Fe,Fe,Cu,Cu,Mo,Fe,Fe,-1.476908735,CHO
Co,Cu,Fe,Fe,Cu,Cu,Co,Mo,Fe,Fe,-1.230362945,CHO
Co,Fe,Cu,Cu,Co,Cu,Fe,Mo,Fe,Fe,-1.573116415,CHO
Co,Cu,Co,Cu,Fe,Fe,Cu,Mo,Fe,Fe,-1.366201935,CHO
Fe,Fe,Ni,Co,Co,Cu,Co,Cu,Fe,Fe,-1.495976005,CHO
Fe,Ni,Co,Co,Cu,Co,Fe,Cu,Fe,Fe,-1.349712125,CHO
Fe,Co,Co,Cu,Co,Fe,Ni,Cu,Fe,Fe,-1.352237685,CHO
Fe,Co,Cu,Co,Fe,Ni,Co,Cu,Fe,Fe,-1.253195145,CHO
Ni,Fe,Cu,Fe,Fe,Co,Fe,Fe,Fe,Mo,-1.302926935,CHO
Ni,Cu,Fe,Fe,Co,Fe,Fe,Fe,Fe,Mo,-1.162201985,CHO
Ni,Fe,Fe,Co,Fe,Fe,Cu,Fe,Fe,Mo,-1.422362985,CHO
Ni,Fe,Co,Fe,Fe,Cu,Fe,Fe,Fe,Mo,-1.536768285,CHO
Ni,Fe,Fe,Cu,Fe,Fe,Co,Fe,Fe,Mo,-1.314213465,CHO
Fe,Cu,Cu,Ni,Fe,Co,Cu,Fe,Fe,Fe,-1.014174595,CHO
Fe,Cu,Ni,Fe,Co,Cu,Cu,Fe,Fe,Fe,-1.150503235,CHO
Fe,Ni,Fe,Co,Cu,Cu,Cu,Fe,Fe,Fe,-1.224454915,CHO
Cu,Cu,Fe,Ni,Fe,Cu,Co,Fe,Mo,Mo,-0.600265585,CHO
Cu,Fe,Cu,Co,Cu,Fe,Ni,Fe,Mo,Mo,-0.901305735,CHO
Fe,Ni,Fe,Ni,Cu,Cu,Cu,Mo,Mo,Cu,-1.088751195,CHO
Fe,Fe,Ni,Cu,Cu,Cu,Ni,Mo,Mo,Cu,-1.551307615,CHO
Ni,Fe,Cu,Co,Cu,Cu,Fe,Mo,Cu,Fe,-1.428073985,CHO
Ni,Cu,Co,Cu,Cu,Fe,Fe,Mo,Cu,Fe,-0.942703925,CHO
Ni,Co,Cu,Cu,Fe,Fe,Cu,Mo,Cu,Fe,-1.187494285,CHO
Ni,Cu,Cu,Fe,Fe,Cu,Co,Mo,Cu,Fe,-1.030317785,CHO
Ni,Cu,Fe,Fe,Cu,Co,Cu,Mo,Cu,Fe,-1.014411415,CHO
Ni,Fe,Fe,Cu,Co,Cu,Cu,Mo,Cu,Fe,-1.450159555,CHO
Cu,Ni,Co,Co,Cu,Fe,Cu,Fe,Fe,Mo,-0.615608705,CHO
Cu,Co,Cu,Fe,Cu,Ni,Co,Fe,Fe,Mo,-0.734069665,CHO
Co,Co,Co,Co,Cu,Cu,Cu,Mo,Fe,Cu,-1.441620715,CHO
Co,Co,Co,Cu,Cu,Cu,Co,Mo,Fe,Cu,-1.633781365,CHO
Co,Co,Cu,Cu,Cu,Co,Co,Mo,Fe,Cu,-1.352441065,CHO
Co,Cu,Cu,Cu,Co,Co,Co,Mo,Fe,Cu,-1.259807175,CHO
Co,Cu,Cu,Co,Co,Co,Cu,Mo,Fe,Cu,-1.267363165,CHO
Cu,Co,Co,Cu,Fe,Cu,Co,Mo,Cu,Mo,-0.737741955,CHO
Cu,Cu,Co,Fe,Co,Ni,Fe,Cu,Mo,Cu,-0.524739855,CHO
Co,Fe,Co,Co,Cu,Ni,Cu,Fe,Cu,Fe,-1.414206875,CHO
Co,Co,Co,Cu,Ni,Cu,Fe,Fe,Cu,Fe,-1.452047355,CHO
Co,Co,Cu,Ni,Cu,Fe,Co,Fe,Cu,Fe,-1.427005165,CHO
Co,Cu,Ni,Cu,Fe,Co,Co,Fe,Cu,Fe,-1.241166235,CHO
Co,Ni,Cu,Fe,Co,Co,Cu,Fe,Cu,Fe,-1.447562765,CHO
Co,Fe,Co,Mo,Fe,Co,Ni,Mo,Co,Fe,-1.447092355,CHO
Co,Co,Mo,Fe,Co,Ni,Fe,Mo,Co,Fe,-1.546782925,CHO
Co,Co,Ni,Fe,Co,Mo,Fe,Mo,Co,Fe,-1.561247425,CHO
Fe,Mo,Cu,Fe,Co,Co,Co,Cu,Fe,Fe,-2.017618185,CHO
Fe,Fe,Co,Co,Co,Mo,Cu,Cu,Fe,Fe,-1.517757385,CHO
Fe,Co,Co,Co,Mo,Cu,Fe,Cu,Fe,Fe,-1.668090565,CHO
Fe,Ni,Co,Fe,Cu,Cu,Fe,Mo,Fe,Fe,-1.314875365,CHO
Fe,Fe,Cu,Co,Co,Ni,Ni,Co,Fe,Co,-1.419140365,CHO
Fe,Co,Co,Ni,Ni,Fe,Cu,Co,Fe,Co,-1.374128635,CHO
Fe,Co,Ni,Ni,Fe,Cu,Co,Co,Fe,Co,-1.271291185,CHO
Fe,Ni,Ni,Fe,Cu,Co,Co,Co,Fe,Co,-1.169525595,CHO
Fe,Ni,Fe,Cu,Co,Co,Ni,Co,Fe,Co,-1.455086575,CHO
Co,Ni,Fe,Mo,Co,Fe,Cu,Co,Ni,Co,-1.449499955,CHO
Co,Fe,Cu,Ni,Fe,Mo,Co,Co,Ni,Co,-1.606255295,CHO
Mo,Co,Cu,Fe,Co,Co,Fe,Fe,Co,Mo,-1.454823635,CHO
Mo,Cu,Fe,Co,Co,Fe,Co,Fe,Co,Mo,-1.162026035,CHO
Mo,Co,Co,Fe,Co,Cu,Fe,Fe,Co,Mo,-1.643571665,CHO
Cu,Cu,Cu,Fe,Fe,Mo,Co,Fe,Mo,Fe,-0.522439695,CHO
Cu,Cu,Fe,Fe,Mo,Co,Cu,Fe,Mo,Fe,-0.950837255,CHO
Cu,Cu,Ni,Co,Fe,Fe,Cu,Fe,Fe,Ni,-0.482585915,CHO
Cu,Co,Fe,Fe,Cu,Cu,Ni,Fe,Fe,Ni,-0.885208455,CHO
Ni,Co,Co,Fe,Co,Cu,Cu,Ni,Mo,Co,-1.400792725,CHO
Ni,Co,Fe,Co,Cu,Cu,Co,Ni,Mo,Co,-1.386079435,CHO
Ni,Fe,Co,Cu,Cu,Co,Co,Ni,Mo,Co,-1.308985235,CHO
Ni,Co,Cu,Cu,Co,Co,Fe,Ni,Mo,Co,-1.257027605,CHO
Ni,Cu,Cu,Co,Co,Fe,Co,Ni,Mo,Co,-1.298707105,CHO
Fe,Ni,Co,Ni,Co,Mo,Co,Co,Co,Cu,-1.525787025,CHO
Fe,Co,Ni,Co,Mo,Co,Ni,Co,Co,Cu,-1.354110545,CHO
Fe,Ni,Co,Mo,Co,Ni,Co,Co,Co,Cu,-1.256976245,CHO
Fe,Co,Ni,Co,Ni,Co,Mo,Co,Co,Cu,-1.719071155,CHO
Co,Fe,Ni,Ni,Cu,Cu,Mo,Mo,Cu,Ni,-2.246740045,CHO
Co,Ni,Cu,Cu,Mo,Fe,Ni,Mo,Cu,Ni,-1.403060465,CHO
Co,Cu,Cu,Mo,Fe,Ni,Ni,Mo,Cu,Ni,-1.368908255,CHO
Co,Mo,Fe,Ni,Ni,Cu,Cu,Mo,Cu,Ni,-2.296936755,CHO
Co,Ni,Co,Fe,Co,Ni,Cu,Mo,Mo,Cu,-1.473310675,CHO
Co,Co,Fe,Co,Ni,Cu,Ni,Mo,Mo,Cu,-1.551410605,CHO
Co,Fe,Co,Ni,Cu,Ni,Co,Mo,Mo,Cu,-1.441994095,CHO
Co,Ni,Cu,Ni,Co,Fe,Co,Mo,Mo,Cu,-1.409316155,CHO
Co,Cu,Ni,Co,Fe,Co,Ni,Mo,Mo,Cu,-1.295480015,CHO
Co,Fe,Ni,Fe,Ni,Co,Fe,Co,Cu,Mo,-1.637911265,CHO
Co,Ni,Fe,Ni,Co,Fe,Fe,Co,Cu,Mo,-1.503782775,CHO
Co,Fe,Ni,Co,Fe,Fe,Ni,Co,Cu,Mo,-1.534135555,CHO
Ni,Co,Fe,Fe,Ni,Co,Fe,Cu,Mo,Co,-1.368214375,CHO
Ni,Fe,Fe,Ni,Co,Fe,Co,Cu,Mo,Co,-1.428246535,CHO
Ni,Ni,Co,Fe,Co,Fe,Fe,Cu,Mo,Co,-1.138951095,CHO
Ni,Fe,Co,Fe,Fe,Ni,Co,Cu,Mo,Co,-1.327198255,CHO
Ni,Ni,Fe,Co,Co,Cu,Co,Ni,Co,Mo,-1.152262835,CHO
Ni,Fe,Co,Co,Cu,Co,Ni,Ni,Co,Mo,-1.360275495,CHO
Ni,Co,Co,Cu,Co,Ni,Fe,Ni,Co,Mo,-1.393977965,CHO
Ni,Co,Cu,Co,Ni,Fe,Co,Ni,Co,Mo,-1.394176605,CHO
Ni,Cu,Co,Ni,Fe,Co,Co,Ni,Co,Mo,-1.092303905,CHO
Ni,Co,Ni,Fe,Co,Co,Cu,Ni,Co,Mo,-1.323229245,CHO
Cu,Mo,Cu,Fe,Co,Co,Ni,Fe,Fe,Fe,-1.736072415,CHO
Fe,Cu,Cu,Fe,Co,Mo,Co,Cu,Fe,Fe,-0.994271885,CHO
Fe,Fe,Co,Mo,Co,Cu,Cu,Cu,Fe,Fe,-1.491821095,CHO
Fe,Co,Mo,Co,Cu,Cu,Fe,Cu,Fe,Fe,-1.436030525,CHO
Fe,Mo,Co,Cu,Cu,Fe,Co,Cu,Fe,Fe,-1.786262555,CHO
Co,Fe,Fe,Co,Ni,Cu,Mo,Co,Fe,Fe,-2.101317385,CHO
Co,Fe,Co,Ni,Cu,Mo,Fe,Co,Fe,Fe,-1.626966415,CHO
Co,Ni,Cu,Mo,Fe,Fe,Co,Co,Fe,Fe,-1.321381075,CHO
Ni,Mo,Cu,Co,Cu,Co,Co,Mo,Fe,Fe,-1.686917235,CHO
Ni,Co,Cu,Co,Co,Mo,Cu,Mo,Fe,Fe,-1.233523555,CHO
Ni,Cu,Co,Co,Mo,Cu,Co,Mo,Fe,Fe,-1.104287125,CHO
Mo,Ni,Co,Cu,Fe,Cu,Cu,Fe,Co,Cu,-1.245299895,CHO
Cu,Mo,Fe,Co,Fe,Fe,Cu,Fe,Cu,Fe,-1.393877985,CHO
Fe,Cu,Co,Cu,Co,Co,Fe,Fe,Fe,Cu,-1.017827315,CHO
Fe,Co,Cu,Co,Co,Fe,Cu,Fe,Fe,Cu,-1.290931575,CHO
Fe,Co,Co,Fe,Cu,Co,Cu,Fe,Fe,Cu,-1.313972285,CHO
Fe,Fe,Cu,Co,Cu,Co,Co,Fe,Fe,Cu,-1.430516515,CHO
Co,Fe,Cu,Cu,Mo,Ni,Co,Fe,Cu,Co,-1.746447465,CHO
Co,Mo,Ni,Co,Fe,Cu,Cu,Fe,Cu,Co,-2.104588035,CHO
Co,Co,Fe,Cu,Cu,Mo,Ni,Fe,Cu,Co,-1.715952925,CHO
Fe,Mo,Cu,Co,Cu,Mo,Cu,Cu,Fe,Mo,-2.030286335,CHO
Fe,Co,Cu,Mo,Cu,Mo,Cu,Cu,Fe,Mo,-1.602026055,CHO
Fe,Mo,Cu,Mo,Cu,Co,Cu,Cu,Fe,Mo,-1.953531945,CHO
Co,Fe,Cu,Co,Cu,Fe,Cu,Fe,Mo,Co,-1.705613685,CHO
Co,Fe,Cu,Fe,Cu,Co,Cu,Fe,Mo,Co,-1.502252335,CHO
Co,Co,Cu,Fe,Mo,Cu,Cu,Cu,Fe,Cu,-1.586712475,CHO
Co,Cu,Fe,Mo,Cu,Cu,Co,Cu,Fe,Cu,-1.298110945,CHO
Cu,Ni,Co,Co,Fe,Mo,Co,Mo,Co,Mo,-0.580895165,CHO
Co,Cu,Ni,Cu,Co,Cu,Co,Co,Mo,Fe,-1.219365545,CHO
Co,Ni,Cu,Co,Cu,Co,Cu,Co,Mo,Fe,-1.302180425,CHO
Co,Co,Cu,Co,Cu,Ni,Cu,Co,Mo,Fe,-1.373751525,CHO
Co,Cu,Co,Cu,Ni,Cu,Co,Co,Mo,Fe,-0.996637285,CHO
Co,Fe,Co,Fe,Co,Ni,Fe,Fe,Fe,Mo,-1.511605045,CHO
Co,Fe,Co,Ni,Fe,Fe,Co,Fe,Fe,Mo,-1.611015555,CHO
Co,Co,Ni,Fe,Fe,Co,Fe,Fe,Fe,Mo,-1.492275005,CHO
Co,Ni,Fe,Fe,Co,Fe,Co,Fe,Fe,Mo,-1.312867785,CHO
Fe,Co,Co,Mo,Co,Co,Co,Cu,Mo,Mo,-1.511253145,CHO
Co,Mo,Co,Fe,Mo,Co,Fe,Mo,Mo,Fe,-2.000571975,CHO
Co,Fe,Mo,Co,Fe,Mo,Co,Mo,Mo,Fe,-2.214212205,CHO
Co,Mo,Co,Fe,Mo,Co,Fe,Mo,Mo,Fe,-2.219457255,CHO
Fe,Mo,Fe,Co,Co,Fe,Co,Fe,Fe,Co,-1.805105045,CHO
Fe,Co,Co,Fe,Co,Mo,Fe,Fe,Fe,Co,-1.742028945,CHO
Co,Fe,Fe,Ni,Mo,Fe,Co,Mo,Co,Co,-1.594389985,CHO
Co,Mo,Fe,Co,Fe,Fe,Ni,Mo,Co,Co,-2.179184085,CHO
Co,Fe,Co,Fe,Fe,Ni,Mo,Mo,Co,Co,-2.217676995,CHO
Mo,Co,Co,Fe,Co,Ni,Cu,Mo,Co,Fe,-1.254058225,CHO
Co,Mo,Fe,Fe,Co,Mo,Cu,Fe,Fe,Fe,-2.055405825,CHO
Mo,Co,Co,Fe,Fe,Co,Cu,Fe,Mo,Mo,-1.350639945,CHO
Fe,Mo,Co,Mo,Ni,Co,Fe,Co,Mo,Cu,-2.013102845,CHO
Fe,Mo,Ni,Co,Fe,Mo,Co,Co,Mo,Cu,-2.034533815,CHO
Fe,Co,Fe,Mo,Co,Mo,Ni,Co,Mo,Cu,-1.844385535,CHO
Ni,Mo,Ni,Cu,Mo,Co,Fe,Co,Cu,Fe,-1.815233405,CHO
Ni,Mo,Co,Fe,Mo,Ni,Cu,Co,Cu,Fe,-1.681992155,CHO
Ni,Co,Fe,Mo,Ni,Cu,Mo,Co,Cu,Fe,-1.760561055,CHO
Cu,Mo,Co,Mo,Ni,Ni,Co,Fe,Fe,Mo,-1.399720535,CHO
Co,Co,Fe,Co,Mo,Cu,Ni,Mo,Fe,Cu,-1.496321765,CHO
Co,Fe,Co,Mo,Cu,Ni,Co,Mo,Fe,Cu,-1.502807825,CHO
Co,Co,Mo,Cu,Ni,Co,Fe,Mo,Fe,Cu,-2.211321415,CHO
Co,Mo,Cu,Ni,Co,Fe,Co,Mo,Fe,Cu,-2.229909355,CHO
Co,Mo,Fe,Mo,Co,Fe,Co,Mo,Cu,Mo,-2.472420325,CHO
Co,Mo,Co,Fe,Co,Mo,Fe,Mo,Cu,Mo,-2.417242715,CHO
Mo,Co,Co,Fe,Ni,Ni,Fe,Cu,Mo,Cu,-1.500659385,CHO
Mo,Co,Fe,Ni,Ni,Fe,Co,Cu,Mo,Cu,-1.509332735,CHO
Mo,Fe,Ni,Ni,Fe,Co,Co,Cu,Mo,Cu,-1.818082285,CHO
Ni,Co,Co,Cu,Ni,Mo,Fe,Fe,Cu,Fe,-1.310491545,CHO
Ni,Cu,Ni,Mo,Fe,Co,Co,Fe,Cu,Fe,-0.975667035,CHO
Ni,Ni,Mo,Fe,Co,Co,Cu,Fe,Cu,Fe,-1.572166035,CHO
Co,Cu,Fe,Fe,Fe,Fe,Ni,Fe,Mo,Mo,-1.317347245,CHO
Co,Fe,Fe,Fe,Ni,Cu,Fe,Fe,Mo,Mo,-1.704162265,CHO
Co,Ni,Cu,Fe,Fe,Fe,Fe,Fe,Mo,Mo,-1.411974115,CHO
Fe,Co,Fe,Ni,Co,Fe,Fe,Cu,Mo,Ni,-1.635880545,CHO
Fe,Co,Fe,Fe,Co,Fe,Ni,Cu,Mo,Ni,-1.354164315,CHO
Fe,Fe,Fe,Co,Fe,Ni,Co,Cu,Mo,Ni,-1.855197765,CHO
Fe,Fe,Co,Fe,Ni,Co,Fe,Cu,Mo,Ni,-1.905813575,CHO
Co,Fe,Ni,Cu,Cu,Fe,Fe,Ni,Ni,Mo,-1.533379515,CHO
Co,Cu,Cu,Fe,Fe,Fe,Ni,Ni,Ni,Mo,-1.248483555,CHO
Co,Fe,Fe,Fe,Ni,Cu,Cu,Ni,Ni,Mo,-1.645905095,CHO
Cu,Cu,Fe,Co,Ni,Fe,Co,Cu,Mo,Mo,-0.495548095,CHO
Fe,Cu,Ni,Ni,Fe,Co,Cu,Mo,Fe,Fe,-1.193899705,CHO
Fe,Ni,Ni,Fe,Co,Cu,Cu,Mo,Fe,Fe,-1.255585005,CHO
Fe,Fe,Ni,Fe,Ni,Fe,Co,Mo,Fe,Co,-1.818634905,CHO
Fe,Fe,Ni,Fe,Co,Fe,Ni,Mo,Fe,Co,-1.476329855,CHO
Fe,Co,Fe,Ni,Fe,Ni,Fe,Mo,Fe,Co,-1.700885125,CHO
Ni,Fe,Fe,Fe,Cu,Co,Fe,Ni,Co,Fe,-1.940096795,CHO
Ni,Fe,Fe,Cu,Co,Fe,Fe,Ni,Co,Fe,-1.554517805,CHO
Ni,Fe,Cu,Co,Fe,Fe,Fe,Ni,Co,Fe,-1.919023775,CHO
Ni,Co,Fe,Fe,Fe,Fe,Cu,Ni,Co,Fe,-1.663425025,CHO
Ni,Fe,Fe,Fe,Fe,Cu,Co,Ni,Co,Fe,-1.447272165,CHO
Cu,Ni,Fe,Cu,Co,Ni,Fe,Mo,Fe,Fe,-0.730027015,CHO
Cu,Cu,Co,Ni,Fe,Ni,Fe,Mo,Fe,Fe,-0.439552285,CHO
Ni,Fe,Fe,Fe,Ni,Fe,Cu,Fe,Mo,Fe,-1.492630385,CHO
Ni,Fe,Fe,Ni,Fe,Cu,Fe,Fe,Mo,Fe,-1.533559405,CHO
Ni,Ni,Fe,Cu,Fe,Fe,Fe,Fe,Mo,Fe,-1.297179975,CHO
Ni,Fe,Cu,Fe,Fe,Fe,Ni,Fe,Mo,Fe,-1.411095525,CHO
Ni,Ni,Fe,Fe,Fe,Fe,Fe,Fe,Fe,Mo,-1.290008745,CHO
Ni,Fe,Fe,Fe,Fe,Ni,Fe,Fe,Fe,Mo,-1.497548485,CHO
Ni,Fe,Fe,Fe,Ni,Fe,Fe,Fe,Fe,Mo,-1.496789855,CHO
Fe,Fe,Ni,Fe,Ni,Fe,Ni,Co,Mo,Fe,-1.383076895,CHO
Fe,Ni,Fe,Ni,Cu,Ni,Fe,Fe,Fe,Mo,-1.285106955,CHO
Fe,Ni,Co,Fe,Fe,Ni,Fe,Mo,Fe,Cu,-1.578875915,CHO
Fe,Ni,Fe,Ni,Co,Fe,Fe,Mo,Fe,Cu,-1.521868495,CHO
