T/B1,B2/Nsur1,Nsur2,Nsur3,Nsur4,Nsur5,Nsur6,Nsub1,Nsub2,Nsub3,Eads,Adsorbate
Ni,Mo,Fe,Ni,Ni,Mo,Mo,Ni,Cu,Mo,-1.98651904,CO
Fe,Mo,Fe,Ni,Fe,Mo,Cu,Mo,Co,Cu,-2.102508,CO
Fe,Fe,Ni,Ni,Ni,Ni,Mo,Cu,Cu,Cu,-1.88207588,CO
Ni,Ni,Ni,Fe,Ni,Ni,Fe,Cu,Cu,Cu,-1.72102697,CO
Fe,Ni,Mo,Mo,Ni,Fe,Mo,Co,Cu,Ni,-2.16428696,CO
Ni,Fe,Mo,Ni,Ni,Fe,Fe,Cu,Ni,Cu,-1.7343,CO
Fe,Ni,Cu,Ni,Mo,Mo,Ni,Fe,Cu,Cu,-1.95792833,CO
Mo,Fe,Ni,Fe,Co,Fe,Mo,Cu,Cu,Ni,-1.92805389,CO
Co,Mo,Fe,Fe,Ni,Mo,Fe,Ni,Ni,Mo,-1.99140797,CO
Fe,Ni,Ni,Ni,Fe,Co,Mo,Ni,Cu,Co,-1.87777725,CO
Ni,Ni,Ni,Mo,Cu,Fe,Fe,Co,Cu,Cu,-1.79084967,CO
Fe,Cu,Fe,Mo,Ni,Ni,Cu,Mo,Co,Cu,-1.7691633,CO
Mo,Ni,Fe,Mo,Fe,Cu,Ni,Cu,Fe,Cu,-1.88285873,CO
Fe,Mo,Mo,Co,Mo,Fe,Cu,Co,Cu,Ni,-2.01043174,CO
Mo,Mo,Co,Cu,Ni,Ni,Ni,Ni,Ni,Fe,-1.79765623,CO
Fe,Ni,Ni,Ni,Co,Cu,Cu,Mo,Co,Cu,-1.73433016,CO
Co,Fe,Ni,Ni,Fe,Mo,Cu,Mo,Cu,Cu,-2.11661219,CO
Fe,Co,Ni,Mo,Ni,Co,Mo,Cu,Cu,Cu,-2.03127007,CO
Mo,Ni,Ni,Fe,Ni,Ni,Fe,Cu,Cu,Cu,-2.11392063,CO
Ni,Ni,Mo,Mo,Ni,Co,Fe,Cu,Cu,Ni,-1.93645211,CO
Co,Fe,Ni,Fe,Co,Co,Co,Fe,Fe,Cu,-0.892218865,COOH
Co,Ni,Fe,Co,Co,Co,Fe,Fe,Fe,Cu,-0.750434185,COOH
Co,Fe,Co,Co,Co,Fe,Ni,Fe,Fe,Cu,-0.957250305,COOH
Co,Co,Co,Fe,Ni,Fe,Co,Fe,Fe,Cu,-0.802951655,COOH
Co,Co,Co,Fe,Cu,Co,Cu,Cu,Cu,Fe,-0.812909045,COOH
Co,Fe,Cu,Co,Cu,Co,Co,Cu,Cu,Fe,-0.996976715,COOH
Co,Co,Cu,Co,Co,Fe,Cu,Cu,Cu,Fe,-0.897827335,COOH
Co,Cu,Co,Co,Fe,Cu,Co,Cu,Cu,Fe,-0.755773955,COOH
Co,Cu,Co,Cu,Fe,Fe,Cu,Mo,Fe,Fe,-0.696049055,COOH
Co,Co,Cu,Fe,Fe,Cu,Cu,Mo,Fe,Fe,-0.752019845,COOH
Co,Cu,Fe,Fe,Cu,Cu,Co,Mo,Fe,Fe,-0.575093835,COOH
Co,Fe,Fe,Cu,Cu,Co,Cu,Mo,Fe,Fe,-0.749116835,COOH
Co,Fe,Cu,Cu,Co,Cu,Fe,Mo,Fe,Fe,-0.854152135,COOH
Fe,Co,Cu,Co,Fe,Ni,Co,Cu,Fe,Fe,-0.515202615,COOH
Fe,Co,Fe,Ni,Co,Co,Cu,Cu,Fe,Fe,-0.649521255,COOH
Fe,Fe,Ni,Co,Co,Cu,Co,Cu,Fe,Fe,-0.711824215,COOH
Fe,Ni,Co,Co,Cu,Co,Fe,Cu,Fe,Fe,-0.591951405,COOH
Fe,Co,Co,Cu,Co,Fe,Ni,Cu,Fe,Fe,-0.579007305,COOH
Ni,Fe,Fe,Cu,Fe,Fe,Co,Fe,Fe,Mo,-0.707989385,COOH
Ni,Fe,Cu,Fe,Fe,Co,Fe,Fe,Fe,Mo,-0.686620295,COOH
Ni,Cu,Fe,Fe,Co,Fe,Fe,Fe,Fe,Mo,-0.546812165,COOH
Ni,Fe,Fe,Co,Fe,Fe,Cu,Fe,Fe,Mo,-0.800706245,COOH
Ni,Fe,Co,Fe,Fe,Cu,Fe,Fe,Fe,Mo,-0.918086745,COOH
Fe,Co,Ni,Fe,Ni,Cu,Co,Cu,Mo,Mo,-0.520734175,COOH
Fe,Ni,Fe,Ni,Cu,Co,Co,Cu,Mo,Mo,-0.514528975,COOH
Fe,Fe,Ni,Cu,Co,Co,Ni,Cu,Mo,Mo,-0.848688845,COOH
Fe,Cu,Co,Co,Ni,Fe,Ni,Cu,Mo,Mo,-0.381578745,COOH
Fe,Co,Co,Ni,Fe,Ni,Cu,Cu,Mo,Mo,-0.498503085,COOH
Cu,Fe,Ni,Cu,Fe,Co,Co,Fe,Mo,Fe,-0.431375325,COOH
Cu,Ni,Cu,Fe,Co,Co,Fe,Fe,Mo,Fe,-0.065604045,COOH
Cu,Fe,Co,Co,Fe,Ni,Cu,Fe,Mo,Fe,-0.348815905,COOH
Cu,Co,Co,Fe,Ni,Cu,Fe,Fe,Mo,Fe,-0.251024505,COOH
Fe,Co,Cu,Cu,Cu,Ni,Fe,Fe,Fe,Fe,-0.590987235,COOH
Fe,Cu,Cu,Ni,Fe,Co,Cu,Fe,Fe,Fe,-0.381397585,COOH
Fe,Cu,Ni,Fe,Co,Cu,Cu,Fe,Fe,Fe,-0.499479555,COOH
Fe,Fe,Co,Cu,Cu,Cu,Ni,Fe,Fe,Fe,-0.675070775,COOH
Cu,Fe,Cu,Co,Cu,Fe,Ni,Fe,Mo,Mo,-0.399256285,COOH
Cu,Cu,Co,Cu,Fe,Ni,Fe,Fe,Mo,Mo,-0.120287975,COOH
Cu,Co,Cu,Fe,Ni,Fe,Cu,Fe,Mo,Mo,-0.209227675,COOH
Cu,Cu,Fe,Ni,Fe,Cu,Co,Fe,Mo,Mo,-0.109121795,COOH
Cu,Fe,Ni,Fe,Cu,Co,Cu,Fe,Mo,Mo,-0.458178285,COOH
Cu,Ni,Fe,Cu,Co,Cu,Fe,Fe,Mo,Mo,-0.196145555,COOH
